Id	EssaySet	Score1	Score2	EssayText	
32	1	2	3	Wie viel Essig wird verwendet? Werden die Behälter abgedeckt? Wie lange werden die Proben gespült?	
33	1	0	0	das Experiment finde ich erst mal gut um das zu der Schüler zu zeigen 2.  es könnte noch bisschen mehr Materialien probieren wie Eisen 3. solche Experiment sind auch wichtig	
34	1	0	0	Gieße ausreichend Essig in die Behälter, damit sämtliche Proben vollständig mit Essig bedeckt sind. Die Proben sollen beim Trocknen nicht direkter Sonneneinstrahlung ausgesetzt sein.	
35	1	1	1	Die Ausgangsmasse Die Masse des Behälters Die Zeit	
36	1	0	0	masse beginn masse ende material	
37	1	3	3	Um das Experiment zu wiederholen sollte man folgende Dinge wissen: 1. die Konzentration der Essigsäure im Essig 2. die Menge Essig die in die 4 Behälter gegossen wurden. 3. die Körnung der verschiedenen Materialien (massive Blöcke, zu Staub zermahlen, etc.) 4. genauere Beschaffenheit der Materialien (was für Plastik, was für Holz, ... )	
38	1	2	2	wie viel Essig wird hinzugegeben, sind die proben nach 30 minuten schon ganz trocken, wie viel destiliertes wasser soll verwendet werden	
39	1	2	3	Wie viel essig wurde in die behälter gegeben? wie lang/gründlich wurden die proben mit wasser abgespült? wie genau war die waage zum messen der proben?	
40	1	0	0	Reagenzgläser, Aufkleber,  Waage	
41	1	0	0	Wie kommt es dazu, dass die verschiedenen Proben, verschiedene Masseverluste aufweisen? (Recherche in Lektüren). Um das Experiment zu wiederholen bräuchte man erneut verschiedene Proben und notwendiger Weise den Essig. Eventuell lässt sich aber ein besserer Stoff finden.	
42	1	2	3	-Umgebungstemperatur -Volumen an Essig -Konzentration von Essigsäure	
43	1	0	0	Man braucht nochmal mehr Masse Man muss die Behälter leeren Und sonst weiß ich es nicht sry	
44	1	3	3	Wichtig zu wissen wäre noch der Säuregehalt des Essigs, die benötigte Menge an Essig und das Volumen des Behälters.	
45	1	2	3	Was für ein Behältnis wurde verwendet, wurde eine geeichte Waage zum Wiegen genutzt mit welcher Fehlertoleranz, und um welche Art Holz [z. B. Buche, Eiche, Birke, etc.] und Kunststoff handelt es sich im Einzelnen.	
46	1	0	1	Die Masse der Proben, Essig, 4 identische Behälter werden benötigt.	
47	1	1	1	In welchem verhältnis muss mann Essig zugeben. wie sammelt man Die Masse und wo wird die Masse gesammelt	
48	1	3	3	Prozentangabe des Essig, Temperatur der Proben, des Essig, des destillierten Wassers und Daten zur 24- Stundenaufbewahrung (Temperatur, Beleuchtung und ggf. Luftabschluss durch Deckel). Genauere Angaben zum Holz und zum Plastik, da dies nur Oberbegriffe für verschiedene Stoffzusammensetzungen sind.	
49	1	0	0	Es sind keine weiteren Informationen erforderlich.	
50	1	0	0	Die zu untersuchenden Materialien sind *Marmor, Kalkstein, Holz und Plastik*. Gebe die Masse in *Gramm* an. Gebe die *Differenz* der Masse zwischen Beginn und Ende des Experiment an.	
51	1	3	3	Die Menge an Essig, die in die jeweiligen Behälter gegossen wurde. Die exakten Maße der verwendeten Behälter. Die Menge an destilliertem Wasser, die verwendet wurde, die Proben abzuspülen.	
52	1	0	0	Es ist wichtig, alle Elemente zur Hand zu haben und jeder der angezeigten Anweisungen zu folgen	
53	1	0	0	Die Bestimmung der Massen der Proben. Die Dauer der Trocknungszeit der Proben. Die Bestimmung des Gewichts der Masse nach der Trocknungsdauer.	
54	1	3	2	Die Masse zu beginn welche Materialien bnutzen wir  wie viel Behälter brauchen wir und wie viel Essig und destilliertes Wasser	
55	1	2	3	Welche Art von Essig wurde benutzt Welche Art von Holz wurde benutzt Welche Art von Plastik wurde benutzt Temperatur im Labor (beim trocknen und während der Behandlung mit Essig)	
56	1	0	0	Probe Masse zu Beginn (g) Masse am Ende (g)	
57	1	0	0	Es werden weitere Zutaten benötigt.Die Zeit sollte ausreichend sein	
58	1	0	0	Berücksichtigen Sie die Werte der einzelnen Materialien in der Tabelle. Regeln Sie die Wartezeit mit einem Timer für mehr Effektivität. Jeder Schüler muss verstehen, wozu das Experiment dient	
59	1	1	2	- Trocknungstemperatur - KOnzentration des Essigs - Avogadrozahl	
60	1	3	3	Es  fehlt  der Säuregehalt des Essigs. Die Menge Essig die verwendet wurde. Und welche Holzart da Holzsorten unterschiedliche Säureresistenz aufweist.	
61	1	2	3	Wurden die Proben ganz von Essig umgeben? Bei welcher Temperatur wurde das Experiment durchgeführt? Welche Form hatten die Proben? (größere Oberfläche -> mehr Auswirkung des Essigs)	
62	1	0	0	Führen Sie den Test mit mehr Materialien durch. führen Sie Wasserhärtetests durch und berechnen Sie die verschiedenen Komponenten derselben. Säure das Wasser.	
63	1	0	0	Wiederholen Sie das Experiment mit anderen Materialien. Bestimmen Sie erneut den Gewichtsunterschied und führen Sie eine Wasserqualitätsanalyse durch, um den Gehalt an Calcium und Magnesium zu bestimmen, um die Härte des Wassers zu bestimmen.	
64	1	0	1	Beschaffenheit der Probe Vorgehensweise Gewichtsbestimmung	
65	1	0	1	vikt av material temperatur	
66	1	0	1	1.die genaue Masse der Proben 2.die genau gleichen Proben ( Material ) 3.die Dauer des Einwirkens auf die Proben	
67	1	3	3	Man muss wissen aus welchem Holz oder welche Art Plastik benutzt worden ist. Außerdem ist es wichtig zu erfahren, aus welchem Material der Behälter sein muss, da er resistent gegen den Essig sein sollte. Auch ist es wichtig zu wissen wie viel Essig man vergießen soll.	
68	1	0	1	die Masse der 4 verschiedene Proben, Essig über die Proben gießen, Gewicht am Ende der Proben bestimmen	
69	1	0	0	um das experiment zu wiederholen muß die Masse wieder aufgestockt werden.es werden zusätzlich behälter benötigt.	
70	1	0	0	Die frei schwebenden Schadstoffe setzen sich auf Gebäude ab. Wenn die Schadstoffe nun mit Wasser in Verbindung kommen, oxidieren diese zu Schwefel- und Salpetersäure. Der niedergehende Regen hat durch die frei schwebenden Teilchen einen entsprechenden Säuregehalt.	
71	1	2	3	Das Experiment macht wie beschrieben Sinn. Es wäre durchaus Interessent zu sehen wie groß die Oberfläche der Proben ist, um dadurch die Wirkung vom Essig besser zu verstehen. Dazu könnte man das Volumen der verschiedenen Proben berechnen. Ebenso muss nach dem Experiment berechnet werden wie ""Saurer Regen"" auf die Materialien gewirkt hätte. Dazu bräuchte man Angaben zu der Konzentration von Essig im Sauren Regen und ebenfalls zum Reinheitsgehalt des benutzten Essigs.	
72	1	0	2	Masse und Material der Proben bestimmen vor und nach Experiment. Dauer des Experiments.	
73	1	0	0	andere Arten von Materialien müssen verwendet werden   weniger Materialmenge  weichere Materialien	
74	1	2	3	Wie viel Essig wurde hinzugegeben? Wie stark konzentriert war der Essig? Bei welcher Temperatur wurden die Proben getrocknet?	
75	1	3	3	Wie groß waren die Behälter. Wie viel Essig soll verwendet werden. Welche Konzentration hat der Essig.	
76	1	3	3	Menge an Essig Material des Behälters Menge des destillierten Wassers Umgebung beim Trocknen	
77	1	0	0	Bestimme die Masse der vier Proben. Gieße Essig in jeden der vier separaten, aber identischen, Behälter. Lege eine Probe eines Materials in einen Behälter und beschrifte diesen. Wiederhole das Ganze mit den restlichen Proben, wobei je eine Probe in einen Behälter gelegt werden soll. Entferne die Proben nach 24 Stunden aus den Behältern und spüle jede Probe mit destilliertem Wasser ab. Lege die Proben für 30 Minuten zum Trocknen weg. Bestimme noch einmal das Gewicht jeder Probe.	
78	1	3	3	Welche Essig wird dabei verwendet? Wie gross sind die Behäkter? Welche Menge Essig wird zugegeben?	
79	1	0	0	Probe wiederhohlen bei 35 graad celsius. Probe wiederhohlen bei minus Celsius.	
80	1	0	0	Masse der Proben bestimmen, Proben in mit Essig gefüllte Behälter geben, Nach 24 h entfernen und trocknen der Proben mit erneuter Gewichtsbestimmung	
81	1	1	3	Weitere Informationen die eventuell von wisenschaftlichem Interesse im Zusammenhang mit dem Experiment sind: Außentemperatur, Innentemperatur im Behälter, Luftdruck, Druck auf Material im Behälter, Volumen von Essig im Behälter	
82	1	0	0	Masse zu Beginn, Masse am Ende, Art der Probe	
83	1	1	1	Welche Materialien wurden getestet? Wie wurde der saure Regen simuliert? Wie lange war die Testphase?	
84	1	0	0	destilliertem Wasser Wiege Essig	
85	1	2	3	in wie viel essig muss die jeweilige Probe gelegt  werden  mit wie viel detilliertem wasser wird gespült  unter welchen bedingungen wird es getrocknet ist die waage geeicht	
86	1	0	0	Benötigt werden vier neue Proben mit identischer Masse. Selber Versuchsaufbau. Exakt gleiche Versuchsanordnung um die Prozedur zu wiederholen.	
87	1	1	1	In welcher Form spülte man bei welchem Temperaturniveau die Proben während der Testdauer exponiert wurden, welchen Anteil an Essig sie verwendeten.	
88	1	1	2	Wie war die Spülung, die Temperatur, der sie während der 24 Stunden ausgesetzt waren, die Menge an Essig, die sie verwendeten.	
89	1	1	2	für meinen Mangel geben Sie die Information, wie die Spülung war, die Temperatur, der sie während der 24 Stunden ausgesetzt waren, die Menge an Essig, die sie verwendeten.	
90	1	1	2	Für mich habe ich nicht gesagt, wie viel Essig sie benutzt haben, die Temperatur, der sie während der 24 Stunden ausgesetzt waren, als Brennstoff für den Spülvorgang.	
91	1	0	0	Sie benötigen eine günstige Temperatur für das Experiment, das verlängert wird, um zu realisieren	
92	1	1	3	Kalkstein - aus welche Region, welche Dichte ? Holz - verarbeitene Holz oder nicht ? Plastik -  wie dick ist das Plastikstück ? Warum sind alle Materialien mit unterschiedlichen Masse ?	
93	1	0	1	verwendung von sauren regen material des behälters waage verwenden	
94	1	0	0	4 behältert dann 4 materialien und essig	
95	1	1	1	In diesem Experiment ist es notwendig, die Größe des Behälters zu kennen	
96	1	2	3	Mir fehlte die Menge an Essig, die in jeder Probe verwendet wurde, und die Temperatur, bei der sie 40 Stunden lang ausgesetzt war, und welche Arten von Behältern ich verwendete.	
97	1	2	3	Um das Experiment durchzuführen, ist es notwendig zu wissen, was ist die notwendige Menge von Essig die Art von Behälter und bei welcher Temperatur sollte gemacht werden	
98	1	0	0	Kalkgehalt des Materials, Essig wirkt kalklösende; die Gewichtsdifferenz gibt den Kalkgehalt ds Materials an	
99	1	0	0	abschätzen, ob sich die Porosität jedes Materials verändert hat abschätzen, ob sich die Härte jedes Materials verändert hat Schlüsse ziehen	
100	1	0	0	Vier Behälter Vier Proben Destilliertes Wasser	
101	1	0	0	Essig in gleich große Behälter füllen und die abgewogenen Proben einlegen. Nach 30 Minuten die Proben rausnehmen , abwaschen und nochmals wiegen.	
102	1	3	3	wie viel essig im behälter? wie lange abspülen? volumen der proben?	
103	1	0	0	Um das Experiment zu wiederholen, müssen neue Proben gesammelt werden, die Behälter gesäubert und die Etiketten entfernt werden. Danach muss die Masse neu bestimmt werden und das Experiment kann nach obigen Schritten wiederholt werden.	
104	1	2	3	Stärke der Essigsäure Aus welchem Material war der Behälter Welche Temperatur hatte die Umgebung für das trocknen	
105	1	0	0	ka	
106	1	1	3	- Umgebungstemperatur - Umgebungsfeuchtigkeit - Größe der Proben	
107	1	2	3	Muss die Probe vollständig bedeckt sein? Aus welchem Material besteht der Behälter? Kann man das Trocknen durch Auflegen auf eine Heizung beschleunigen?	
108	1	0	0	Wiege die 4 Proben, lege diese einzeln in beschriftete Behälter mit Essig. Nach 24 Stunden entnehme die Proben, spüle sie ab und lege sie 30 Minuten zum Trocknen, wiege sie erneut.	
109	1	2	2	Ich glaube es ist wichtig zu wissen wieviel Essig in jedem Behälter ist am Anfang des Experiments. Die Menge Wasser die zum abspülen benutzt wird könnte vielleicht auch einen Effekt auf den Ausgang haben. Zu guter Letzt kann es auch sein dass der Essig die Behälter verändert hat. Daran sollte man auch denken.	
110	1	0	1	Wie kann man die Masse bestimmen? Wie kann man das Gewicht am Schluss bestimmen? Muss man die Proben im Freien oder Innen trocknen?	
111	1	2	3	Umgebungstemperatur,  Volumen Essig, volumen dest. Wasser zum spülen	
112	1	0	0	Bestimme di Masse der vier Proben. Gieße Essig in jeden der vier separaten, aber identischen, Behälter. Entferne die Proben nach 24 Stunden aus den Behältern und spüle jede Probe mit destilliertem Wasser ab. Bestimme noch einmal das Gewicht jeder Probe.	
113	1	0	0	Um das Experiment zu wiederholen benötigt man unterschiedliche, für das Experiment geeignete Materialien, und eine Waage die exakt das Gewicht der Materialien bestimmen kann. Das Experimtent muß exakt in der selben Zeit durchgeführt werden, wie im ersten Durchgang.	
114	1	0	0	Die selben Materialien, die selbe Menge, die selbe Dauer des Experiments.	
115	1	0	0	Der Ablauf muss wiederholt werden, da die Zerstörung anders sein wird Materialien wie Holz und Kalkstein können während dieser Zeit keine Feuchtigkeit aufnehmen. Sie benötigen ein größeres Intervall Die Zusammensetzung des sauren Regens verändert die Säure	
116	1	0	0	1- Es ist notwendig, die Proben länger im Essig zu lassen, um relevantere Ergebnisse zu beobachten 2- Verwenden Sie neben Essig andere Säuren wie Zitronensaft 3- Regen auf Gebäude aus Kalkstein (mit Calciumcarbonat) oder anderen Materialien zu bewerten.	
117	1	0	0	1. Verfeinerung des Behältermaterials (weil zum Beispiel Metall reagieren kann) 2. kann der gleiche Unterschied in der Lautstärke verfolgt werden 3. Beschreiben Sie die angeblichen Ursachen solcher Veränderungen	
118	1	0	0	Zeit erhöhen,Zeit verkürzen,Essiggehalt erhöhen	
119	1	0	1	-erhalte drei neue Proben. -wandeln Sie den Gewichtsverlust in einen Prozentsatz um, da das Gewicht der neuen Proben nicht exakt gleich ist. -Ermitteln Sie die Umgebungstemperatur während des Versuchs so, dass sie immer gleich ist.	
120	1	0	0	destilliertes Wasser, Essig und eine Probe, die Sie brauchen	
121	1	0	0	es scheint, dass die Masse in allen Kategorien abnimmt	
122	1	0	0	Essig trennen destilliertes Wasser	
123	1	0	0	1 : Wie man mit pH-Papier misst 2 : Wie man Flüssigkeiten mit einem Garten-Boden pH-Test-Kit misst 3: Wie man Beobachtungen notiert	
124	1	0	0	man benötigt nochmals die proben des holz da die zahlen gleiches datenmaterial ergaben	
125	1	0	0	- Um Unterschied der Massen zu bestimmen -Um Ergebnisse zu analysieren  - Dieses zu interpretieren, resultiert	
126	1	0	0	,Bestimme die Masse der vier Proben.Entferne die Proben nach 24 Stunden aus den Behältern und spüle jede Probe mit destilliertem Wasser ab.Lege die Proben für 30 Minuten zum Trocknen weg.	
127	1	0	0	Die Reduzierung des pH-Wertes von 7 auf 4 ist eine wichtige Veränderung in der Umwelt, die sich in Veränderungen der Tierwelt zeigt. Es gibt direkte und indirekte Auswirkungen von saurem Regen. Die Säure beeinträchtigt direkt die Fähigkeit des Fisches, Sauerstoff, Salze und Nährstoffe für das Leben zu absorbieren. Die Säure im Wasser erzeugt den Schleim in den Kiemen des Fisches und verhindert, dass er Sauerstoff aus dem nahen Wasser absorbiert. Mit wenigen Ausnahmen können große Fische nicht in Wasser mit einem pH-Wert von weniger als 4,8 leben. Fischeier und kleine Fische können jedoch nicht leben, wenn der pH-Wert weniger als 5,5 beträgt.	
128	1	0	0	Alle experimentellen Beobachtungen sind eine Kombination aus Signal, dem wahren Effekt einer Variablen auf ein Ergebnis und Rauschen, dem Zufallsfehler, der Ihrer experimentellen Technik innewohnt. Sechs übliche Mittel zur Erhöhung des Signal-Rausch-Verhältnisses sind:  Wiederholung von Messungen an einem Gegenstand Steigende Stichprobengröße, Randomisieren von Proben, Randomisierungsexperimente, Wiederholte Experimente und Einschließlich Kovariaten.	
129	1	1	1	Es ist notwendig zu bestimmen: die Konzentration des Essigs im Experiment, die mögliche Säurekonzentration im sauren Regen und die Änderung der Masse jeder Probe wiederholt nach zusätzlicher Trocknung für eine Stunde	
130	1	1	1	mehr Materialien die Masse in verschiedenen Intervallen während 24 Stunden der pH-Wert von Essig	
131	1	1	1	Essigmenge sollte notiert werden. Behälter sollten in einem nicht kontaminierten Bereich aufbewahrt werden. Der Versuch sollte dreimal durchgeführt werden, um bessere Ergebnisse zu erzielen.	
132	1	0	0	1) Essig; 2) Destilliertem Wasser; 3) Probenmaterial.	
133	1	0	1	mehr Materialien Masse in verschiedenen Intervallen während 24 Stunden stelle die gleiche Menge Essig auf die vier Proben ein	
134	1	0	1	Belichtung von Materialien vorher	
135	1	0	0	1- marmor 2- kalkstein 3- plastik brauche kein anderes Holz, da es keine Veränderung hat	
136	1	0	0	Ich brauche die Masse der Proben am Ende,  Essig und wieder vier behalter	
137	1	2	2	Größe, Essigkonzentration, Temperatur	
138	1	0	0	1.Der Essig sollte mild sein 2. Es sollte darauf geachtet werden, dass die Menge jeder Probe gewichtet werden sollte 3. die Laborumgebung sollte sehr vernünftig gereinigt und für kontaminiert werden	
139	1	0	0	Marmor, Kalkstein, Holz, Plastik - Masse zu Beginn (g) - Essig - 24 Stunden -Lege die Proben für 30 Minuten zum Trocknen weg - Masse am Ende (g) - Unterschied in der Masse (g)	
140	1	0	0	Zeichnen Sie die Masse von drei Proben auf. Gießen Sie jede Probe mit Essig in eine Schüssel und rühren Sie 10 Minuten lang. Entnehmen Sie die Proben und lassen Sie sie trocknen.	
141	1	0	0	Die Schüler müssen mehr unterschiedliche Materialien verwenden. Sie müssen das Material länger in der Flüssigkeit lassen. Sie müssen auch die Abmessungen des Materials messen.	
142	1	2	2	Wieviel Essig wird verwendet? Wie groß sind die Behälter?	
143	1	2	3	welche konzentration hatt die Essig säure? waren die proben komplet mit essig bedeckt? wie war die luftfeuchtigkeit im raum	
144	1	1	0	Masse zu Beginn, Masse am Ende, ggf. Unterschied in der Masse (nicht zwingend notwendig, da diese aus den ersten Werten hergeleitet werden kann), Zeitangaben (wie lange die Probe im Essig bleibt), die Essigmenge.	
145	1	1	1	Der Tatsächliche Gehalt von Essigsäure im verwendeten Essig wird nicht beachtet. Je nach Handelsmarke gibt es dort Schwankungen.  Auch wird nicht berücksichtigt, dass der Säuregehalt so oder so sehr viel höher ist als der von saurem Regen. Ein ""Fehler"" des Experiments liegt in der Trocknungsphase. Da die verwendeten Proben unterschiedlich saugfähig sind wird z.B. das Holz sehr viel länger brauchen um zu trocknen als  das Plastik.	
146	1	0	0	der Behälter muss transparent sein wenden Schutzmethoden an	
147	1	2	3	Genaue Definition der Verwendeten Materialen (Beispielsweise was für ein Holz, chemische Beständigkeit des Kunststoffes, welcher Kalkstein (Calcit, Aragonit, Dolomit/ Anteil Tonminerale, Anteil organischen Materials etc.), Säuregrad des verwendeten Essigs, Temperatur der Flüssigkeiten	
148	1	1	2	Welche Materialien bieten sich für das Experiment an? Welche Form der Säure kann man für das Experiment verwenden? Aus welchem Material sollten die Behältnisse sein?	
149	1	0	0	Masse zu Beginn, Masse am Ende und Unterschied in der Masse.	
150	1	0	0	Essig  wiederhole die Proben  Spüle die Mischung ab	
151	1	2	3	Man müsste wissen, welcher Essig genau verwendet wurde. Man müsste wissen, welche Behälter genau verwendet wurden. (Kunststoff? Holz? Metall? etc.) Man müsste wissen, ob bestimmtes destilliertes Wasser verwendet wurde.	
152	1	0	0	Genaue angabe der milligram jeder probe vor und nach dem experiement. Andere proben benutzen, wie zum beispiel stahl, metall, zement, glas usw. Andere zeit abschnitte sind noetig, zum beispiel 1 stunde oder 1 woche.	
153	1	0	2	Temperatur, Luftdruck, Luftfeuchtigkeit	
154	1	0	0	Dies zeigt, wie sich jedes Material im Lösungsmittel auflöst, womit Sie wissen können, welches Material beständiger gegen die Chemikalie ist...	
155	1	0	0	Menge an Lösungsmittel	
156	1	3	3	Einerseits sollte man wissen ob die Materialien vollständig vom Essig bedeckt waren oder ob allen Materialen eine definierte Menge Essig zugegeben wurde. Die Konzentration des Essigs ist ebenfalls wichtig, genauso wie die Zusammensetzung der einzelnen Materialien.	
157	1	1	2	- wie man die Masse bestimmt - wie viel Essig zu gießen - Bei welcher Temperatur sollten die Behälter 24 Stunden warten	
158	1	3	3	Der pH-Wert des Essigs. Das Volumen des Essigs, bzw. ob es genug war um die Proben ganz zu bedecken. Damit zusammenhängend, die Form der Behälter und die Größe bzw. das Volumen der Proben. Die genaue Art des Holzes (von welcher Baumspezies?) und die Art des Plastiks.	
159	1	1	3	Es git zu wenig Informationen über die verwendeten Stoffe, Hilfsmittel und Zusatzgeräte. Als erstes müsste die Waage genauer klassifiziert werden, allein schon wegen Messungenauigkeiten. Dann fehlt die Konzentration des Essigs. Ich würde beim zweiten Versuch auch die Zeitintervalle verändern.	
160	1	1	1	Neue bzw. andere Proben von Materialien; Materialien länger als 24 Stunden im Essig Behälter aufbewahren; welche Art von Material war es? bzw. Welches Holz wurde getestet? Unbearbeitetes Holz? Holz direkt von draußen? Geschliffenes oder Lackiertes Holz?	
161	1	0	0	Neue Proben neue Gläser neuer EssigMateria	
162	1	0	1	-den ph-wert bestimmen -luftverunreinigungen in der umgebung testen -mehr materialien testen	
163	1	1	3	Wie hoch werden die Behälter gefüllt? Mit was für einer Waage wird die Masse bestimmt? Welchen Einfluss hat die Luft bei Trocknung der Proben?	
164	1	2	3	wieviel Essig ist nötig? welches Material wurde verwendet? müssen die Behälter geschlossen werden?	
165	1	3	2	Was ist das Ausgangsmaterial der Probe Material des Behälters Menge von Essig	
166	1	0	0	Vielleicht wäre die Temperatur von Interesse.	
167	1	0	0	frischer Niederschlag, saurer Regen, verschiedene Materialien (marmor, kalkstein, holz und plastik )	
168	1	0	0	Essig in ein separaten Behälter gießen. Lege eine Probe in den Behälter beschrifte es. Wiederhole es. Nach 24 Stunden aus dem Behälter spülen. Nach 30 Minuten Trockenzeit weglegen.	
169	1	0	0	Daten über physikalische Materialverluste werden benötigt, um eine Vorabprüfung des Materials durchzuführen. - Wiederholungen sind für jeden Materialtyp erforderlich (mindestens drei), damit die Ergebnisse genauer sind. - Es ist erforderlich, das Experiment für eine längere Zeit zu bewerten, um einen ausgeprägteren Effekt zu erkennen.	
170	1	1	3	Menge an Essig Temperatur Essig Umgebungstemeratur beim trocknen	
171	1	0	0	Unterschiedliche Materialien führen zu unterschiedlichen Ergebnissen	
172	1	2	3	Wieviel und was für Essig in jeder Probe war. Die Temperatur in welcher das Experiment durchgeführt wurde.	
173	1	1	2	essgkonzentration oberflächenstruktur temperatur	
174	1	0	0	Nochmal mit den gleichen Materialien 9 mal wiederholen um eine gewisse Genauigkeit herzustellen und um eventuelle Ausreißer ausschließen zu können.	
175	1	0	0	Um das Experiment zu wiederholen brauchen wir die besonderen Materialien und Essig dazu, sonst wird es nichts	
176	1	0	0	das Material muss wieder vollständig getrocknet sein.	
177	1	2	2	Menge der Wasser Grösse der Behälter Form der Behälter	
178	1	0	1	Wichtig ist, dass bei der Wiederholung die gleichen Materialien in gleicher Menge und Beschaffenheit benutzt werden. Auch die Form sollte identisch sein, da eine unterschiedliche Form, des zu testenden Proben, zu einer größereren Fläche führen könnte, die mehr Oberfläche bieten würde und somit mehr Schnittstellen zur Säure. Somit würde das Material schneller verätzen.	
179	1	2	2	Menge Essig, Stärke des Essigs, Temperatur	
180	1	0	0	Neue Proben. Masse bestimmen. Trocknen.	
181	1	1	0	Art der Probe, Masse zu Beginn, Masse am Ende	
182	1	1	2	Säuregehalt des Essigs, Erdfaktor um die Masse zu bestimmen ( z. B. 9.81 m/s^2), Raumtemperatur beim Trocknen	
183	1	0	0	Den Essig zurück in den Behälter geben. zurück, um 24 Stunden zu warten. Sie müssen 30 Minuten trocknen.	
184	1	0	0	man braucht die masse vorher, eine waage, ein glas, essig. dann macht man das material in das glas mit essig und wiegt nach einem tag die sachen nach.	
185	1	0	0	Zusätzliche Informationen die nötig sind, um das Experiment zu wiederholen sind die äußerlichen Veränderungen, die an den Materialien entstanden sind. Zudem wäre ein  Versuchserklärungsansatz wünschenswert.	
186	1	0	1	1.was das gewicht ist von den neuen proben 2.wie viel saurer regen benutzt werden soll 3.wie lange die proben in den behälter sein sollen	
187	1	3	3	Die Menge an Essig, die zu Beginn dazu gegeben wird Die Art und das Material des Behälters Die Art des Essig Die Konzentration des Essig	
